job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts
Conseiller(e) Clientèle Corporate / Agence Bainem,Gulf Bank Algérie (AGB),2025-01-06 07:48:54.258,2025-03-07 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Directeur Marketing Stratégique et Communication F/H,Amlak Real Estate,2025-01-06 07:48:21.567,2025-03-06 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['Plus de 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Executive Assistant,Entreprise anonyme,2025-01-06 07:46:56.489,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Responsable Développement RH,Numilog,2025-01-06 07:46:14.136,2025-03-06 23:59:59.000,Services,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Commercial intérieur extérieur,Adel immoConseils real estate,2025-01-06 07:36:49.312,2025-03-07 07:36:49.263,"BTP, Construction, Immobilier",['Annaba'],['Sans Expérience'],"['Bac + 5', 'Bac', 'Bac + 2', 'Bac + 4', 'Bac + 3']",CDI,1
INGÉNIEUR MAINTENANCE,TapidOr,2025-01-06 07:12:45.567,2025-03-07 23:59:59.000,Industries,['Oran'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,15
Délégués Médico-Commerciaux - Alger-,Entreprise anonyme,2025-01-05 19:52:56.191,2025-03-06 23:59:59.000,Industries,['Alger'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,2
Approvisionneur Senior Technique,Amimer Energie,2025-01-05 16:35:32.924,2025-03-06 23:59:59.000,Industries,['Blida'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Agent Commercial Polyvalent (H-F) Agence Birkhadem,Société Générale Algérie,2025-01-05 16:08:28.693,2025-03-06 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['1 À 2 Ans'],None spécifiée,CDD Ou Mission,1
Contrôleur de Gestion,EURL S.A.I.D.A ,2025-01-05 15:52:48.936,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
COMMERCIAL FLOTTE SAV (SERVICES APRES-VENTES),Entreprise anonyme,2025-01-05 15:50:59.035,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDI,2
Responsable Logistique,Entreprise anonyme,2025-01-05 15:42:04.665,2025-03-06 23:59:59.000,Industries,['Oran'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 2']",CDD Ou Mission,1
Architecte-Designer,inhouse,2025-01-05 15:38:14.134,2025-03-06 15:38:14.070,"BTP, Construction, Immobilier",['Sétif'],['Sans Expérience'],"['Bac + 5', 'Bac + 4']",CDI,1
Commerciale,OPALE VOYAGES,2025-01-05 15:32:36.962,2025-03-06 15:32:36.899,Services,['Alger'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",CDI,2
Assistant(e) Administratif,All Industries,2025-01-05 15:24:51.441,2025-03-06 15:24:51.404,Industries,['Alger'],['Sans Expérience'],['Bac + 3'],CDD Ou Mission,1
Ingénieur HSE sénior,Amimer Energie,2025-01-05 15:22:47.775,2025-03-06 23:59:59.000,Industries,['Blida'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Assistant(e) Commercial(e),INTERCONTINENTAL IMPORT,2025-01-05 15:22:18.582,2025-03-06 15:22:18.537,"Distribution, Commerce",['Alger'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']",['Bac + 3'],CDI,2
Administrateur système,Entreprise anonyme,2025-01-05 15:15:20.564,2025-03-06 23:59:59.000,Industries,['Boumerdès'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Technicien HELP DESK,Entreprise anonyme,2025-01-05 15:08:02.856,2025-03-06 23:59:59.000,Industries,['Boumerdès'],['3 À 5 Ans'],['Bac + 2'],CDD Ou Mission,1
Préparateur Chimiste,Sublimco,2025-01-05 15:04:45.000,2025-02-03 23:59:59.000,Industries,['Tipaza'],['3 À 5 Ans'],"['Bac + 3', 'Bac + 2']",None spécifiée,1
Commerciale terrain -Alger-,Sublimco,2025-01-05 15:04:42.000,2025-02-03 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 2'],None spécifiée,6
Commercial(e) terrain – Zone Est,Sublimco,2025-01-05 15:04:42.000,2025-02-03 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],None spécifiée,None spécifiée,1
Commerciale Terrain - Zone Ouest-,Sublimco,2025-01-05 15:04:40.000,2025-02-03 23:59:59.000,Industries,['Tipaza'],['3 À 5 Ans'],None spécifiée,None spécifiée,4
Agent d'Accueil Restauration ( femme ),SPA Hygianis Gestion Hotellière ,2025-01-05 15:00:59.608,2025-03-06 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],['Formation Professionnelle'],CDD Ou Mission,2
"Assistante Traductrice "" Turc - Anglais """,Aksa Algérie,2025-01-05 15:00:20.000,2025-02-24 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],"['Bac + 4', 'Bac + 3']",None spécifiée,1
Barman,SPA Hygianis Gestion Hotellière ,2025-01-05 14:54:06.401,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 2'],CDD Ou Mission,2
Manager F&B (Food & Beverage),SPA Hygianis Gestion Hotellière ,2025-01-05 14:49:39.649,2025-03-06 23:59:59.000,Services,['Alger'],['6 À 10 Ans'],['Bac + 4'],CDD Ou Mission,1
Chargé des Opérations,GoDyma,2025-01-05 14:40:06.566,2025-03-06 23:59:59.000,Services,['Sidi Bel Abbès'],['1 À 2 Ans'],['Bac + 3'],CDD Ou Mission,2
CHARGE DES ACHATS,ERGUNBAS GROUP,2025-01-05 14:37:01.132,2025-03-06 23:59:59.000,Industries,['Boumerdès'],['3 À 5 Ans'],"['Bac + 5', 'Niveau universitaire', 'Bac + 3', 'Diplôme']",CDD Ou Mission,1
Serveur (se),SPA Hygianis Gestion Hotellière ,2025-01-05 14:33:10.525,2025-03-06 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],['Formation Professionnelle'],CDD Ou Mission,3
Chef de Rang,SPA Hygianis Gestion Hotellière ,2025-01-05 14:32:08.261,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDD Ou Mission,2
Maitre d’Hôtel,SPA Hygianis Gestion Hotellière ,2025-01-05 14:30:11.112,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDD Ou Mission,1
Commercial Sénior- Mobilité Electrique,Amimer Energie,2025-01-05 14:20:10.312,2025-03-06 23:59:59.000,Industries,['Alger'],['1 À 2 Ans'],['Bac + 3'],CDD Ou Mission,1
Commercial(e),Al Hujuzat Travel,2025-01-05 14:19:47.125,2025-03-06 14:19:47.079,"Distribution, Commerce",['Alger'],['Sans Expérience'],['Niveau Terminal'],Indépendant/Saisonnier,4
Agent Polyvalent,Entreprise anonyme,2025-01-05 14:13:58.891,2025-03-06 14:13:58.843,Services,['Oran'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']","['Bac', 'Niveau Secondaire', 'Niveau Terminal']",CDD Ou Mission,1
Opérateurs Conditionnement / Process,TCHIN LAIT SPA,2025-01-05 14:08:02.931,2025-03-06 23:59:59.000,Industries,['Béjaïa'],"['Moins D’un An', '1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 4', 'Formation Professionnelle', 'Bac + 2']",CDD Ou Mission,24
Manager Exploitation et Infrastructure,Faderco SPA,2025-01-05 14:00:13.000,2025-02-07 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Administrateur Systèmes et Réseaux.,Faderco SPA,2025-01-05 14:00:03.000,2025-02-14 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Directeur  d'hôtel,SPA Hygianis Gestion Hotellière ,2025-01-05 13:49:51.573,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,1
operateur machine plasma cnc,Dinamique,2025-01-05 13:48:25.533,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Ingénieur d'Etudes et développement SI,Faderco SPA,2025-01-05 13:48:01.000,2025-02-17 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Responsable Unité Production,Entreprise anonyme,2025-01-05 13:38:28.090,2025-03-06 23:59:59.000,Industries,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 4', 'Bac + 3']",CDI,1
Cadre Management de la Qualité,ANAC,2025-01-05 13:30:20.626,2025-03-06 23:59:59.000,Services,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']",['Bac + 4'],CDI,1
ASSISTANT(E) DE DIRECTION,Entreprise anonyme,2025-01-05 13:29:54.652,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Chef de projet,Entreprise anonyme,2025-01-05 13:29:11.351,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Juriste,Entreprise anonyme,2025-01-05 13:28:43.102,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
CONTROLEUR DE GESTION,Entreprise anonyme,2025-01-05 13:28:21.727,2025-03-06 23:59:59.000,Services,['Tipaza'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Responsable de Contrôle de Gestion,Entreprise anonyme,2025-01-05 13:22:55.633,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Commercial grands comptes,Sarl F Eldjazair Motors ,2025-01-05 13:19:51.425,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDI,1
Ingénieur Décoration,CSCEC,2025-01-05 13:09:23.751,2025-03-06 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Visiteur Médical (Batna),Laboratoire Merinal,2025-01-05 12:59:24.588,2025-02-23 23:59:59.000,Industries,['Batna'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 4']",CDI,6
Conseiller juridique,Importante entreprise,2025-01-05 12:36:02.312,2025-03-01 23:59:59.000,Services,['Alger'],['Plus de 10 Ans'],None spécifiée,None spécifiée,1
"Chargé de l'administration , finance , comptabilité et moyens généraux",Importante entreprise,2025-01-05 12:35:38.059,2025-03-01 23:59:59.000,Services,['Alger'],"['3 À 5 Ans', '6 À 10 Ans']",None spécifiée,None spécifiée,1
Contrôleur de Gestion,Amimer Energie,2025-01-05 12:31:43.746,2025-03-06 23:59:59.000,Industries,"['Alger', 'Relizane']",['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,1
Général manager exécutif,Importante entreprise,2025-01-05 12:30:10.061,2025-03-01 23:59:59.000,Services,['Alger'],['6 À 10 Ans'],['Bac + 4'],None spécifiée,1
Chargée des approvisionnements,Importante entreprise,2025-01-05 12:29:45.227,2025-03-01 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Niveau universitaire'],None spécifiée,1
Chef de Projet,Amimer Energie,2025-01-05 12:29:23.118,2025-03-06 23:59:59.000,Industries,['Blida'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Ingénieur / Technico-commercial en énergies solaires,ABM Algeria Business Multimedia,2025-01-05 12:14:18.228,2025-03-06 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Agricultural Specialist - All Interested Candidates,US Embassy Algiers,2025-01-05 12:06:31.280,2025-01-19 23:59:59.000,"Fonction Publique, Administration",['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],None spécifiée,1
Assistante de direction,Intaj Mohtawayat,2025-01-05 11:52:53.547,2025-03-06 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,1
Ingénieur DevOps,Beyn,2025-01-05 11:38:44.402,2025-03-06 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Ingénieur statistique et planification,COPHYD,2025-01-05 11:34:31.000,2025-02-01 23:59:59.000,Services,['Tipaza'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
comptable ,Sidi mouley épices,2025-01-05 11:13:27.209,2025-03-06 11:13:27.177,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",Pré-emploi,1
Développeur/Développeuse,GROUPE ESJ SELLAM,2025-01-05 11:13:12.764,2025-03-06 11:13:12.715,"Informatique, Télécom, Internet",['Alger'],"['3 À 5 Ans', '1 À 2 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac + 2', 'Bac + 4', 'Bac + 3']",CDI,1
Responsable gestionnaire ,Dar Oukhiti,2025-01-05 11:12:45.420,2025-03-06 11:12:45.380,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Niveau Secondaire', 'Bac', 'Certification', 'Formation Professionnelle', 'Bac + 2', 'Bac + 4', 'Bac + 3', 'Niveau Terminal']",CDD Ou Mission,1
Adjoint(e) Administrative,Gap In,2025-01-05 11:12:29.720,2025-03-06 11:12:03.875,Services,['Alger'],"['3 À 5 Ans', '1 À 2 Ans']","['Niveau Secondaire', 'Niveau Terminal']",Indépendant/Saisonnier,15
Délégué Commercial,Sarl luxx electronics,2025-01-05 11:11:48.130,2025-03-06 11:11:48.086,"Distribution, Commerce",['Boumerdès'],['1 À 2 Ans'],['Bac + 3'],CDI,2
digital marketing,brisevap,2025-01-05 11:11:10.711,2025-03-06 11:11:10.673,"Informatique, Télécom, Internet",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 7', 'Bac', 'Bac + 2', 'Bac + 4', 'Bac + 3']",CDI,1
Business Developpeur IT,FENEEX,2025-01-05 10:58:23.557,2025-03-06 10:58:23.472,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",CDD Ou Mission,2
TRADE PROMOTER,TAIWAN TRADE CENTER ALGIERS ,2025-01-05 10:57:34.000,2025-02-14 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Infographe Maquettiste,BEKA IMPRIMERIE,2025-01-05 10:56:59.479,2025-03-06 10:56:59.345,Industries,['Tlemcen'],['1 À 2 Ans'],['Bac + 3'],CDI,3
Gestionnaire des Ressources Humaines,Importante entreprise,2025-01-05 10:52:29.661,2025-02-03 23:59:59.000,"Distribution, Commerce",['Alger'],['6 À 10 Ans'],None spécifiée,CDI,1
Gestionnaires De Stocks,Sadjad al djazair,2025-01-05 10:51:47.857,2025-03-06 10:51:47.791,Industries,['Blida'],['1 À 2 Ans'],"['Bac', 'Niveau Secondaire', 'Niveau Terminal']",CDD Ou Mission,1
Technicienne  de laboratoire / Biologiste,SARL ALPHA DIAGNOSTIC,2025-01-05 10:45:26.000,2025-02-16 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,1
Développeur Web Full-Stack,Bessa Promotion,2025-01-05 10:26:37.624,2025-03-06 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
CHEF DE PARC,Le Groupe des Sociétés Hasnaoui,2025-01-05 10:21:00.763,2025-03-06 23:59:59.000,"BTP, Construction, Immobilier",['Sidi Bel Abbès'],['Plus de 10 Ans'],['Formation Professionnelle'],CDI,1
Directeur Finance et Comptabilité,Entreprise anonyme,2025-01-05 09:57:14.420,2025-03-06 23:59:59.000,"Banque, Assurance, Finance",Algérie,['6 À 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Visiteur Médical,UPC Union pharmaceutique constantinoise Spa (Alger),2025-01-05 09:57:13.019,2025-03-06 23:59:59.000,Industries,['Oran'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 7', 'Bac + 4']",CDD Ou Mission,8
Visiteur Médical,UPC Union pharmaceutique constantinoise Spa (Alger),2025-01-05 09:56:54.244,2025-03-06 23:59:59.000,Industries,"['Alger', 'Oran', 'Blida']",['1 À 2 Ans'],"['Bac + 5', 'Bac + 7', 'Bac + 4']",CDD Ou Mission,8
Business Unit Manager,Entreprise anonyme,2025-01-05 09:56:21.954,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,7
Directeur d'Agence (H/F) Mostaganem,Maghreb Leasing Algérie,2025-01-05 09:44:57.000,2025-02-15 23:59:59.000,"Banque, Assurance, Finance",['Mostaganem'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 7', 'Bac + 4', 'Bac + 3']",CDI,1
INGENIEUR EN MAINTENANCE ÉLECTROMÉCANIQUE,SARL Roland tecnic Algérie,2025-01-05 09:41:31.000,2025-01-26 23:59:59.000,"Distribution, Commerce",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Responsable Marketing Digital et Communication,Entreprise anonyme,2025-01-05 09:28:15.535,2025-03-06 23:59:59.000,"Distribution, Commerce",['Alger'],['Plus de 10 Ans'],['Bac + 4'],CDI,1
Chargé d’Affaires Véhiculé | (H/F)  Béjaïa,Maghreb Leasing Algérie,2025-01-05 09:19:45.000,2025-02-28 23:59:59.000,"Banque, Assurance, Finance",['Béjaïa'],['3 À 5 Ans'],['Bac + 3'],CDI,1
Senior Presales Specialist,Icosnet,2025-01-05 09:11:50.000,2025-02-14 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Area Sales Manager (Electrification & Energy automation),Siemens,2025-01-05 09:06:01.277,2025-03-06 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Commercial Project Manager(Senior),Siemens,2025-01-05 09:02:21.966,2025-03-06 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Technico-Commercial,Entreprise anonyme,2025-01-05 08:59:24.000,2025-02-27 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",CDI,1
Agent commercial polyvalent (H-F) Agence Reghaia,Société Générale Algérie,2025-01-05 08:58:32.611,2025-03-06 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['Moins D’un An'],['Bac + 2'],CDD Ou Mission,1
Agent Vacataire ( H-F) Agence Zéralda,Société Générale Algérie,2025-01-05 08:55:21.768,2025-03-06 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['Moins D’un An'],['Bac + 4'],CDD Ou Mission,1
"Chargé ""e"" relations clients (conventions )",Entreprise anonyme,2025-01-05 08:51:19.581,2025-03-03 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3', 'Bac + 2']",CDI | CDD Ou Mission,2
Superviseur Service clientèle,Nord et ouest Express,2025-01-05 08:50:41.000,2025-02-27 23:59:59.000,"Informatique, Télécom, Internet",['Boumerdès'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Directeur du Matériel,Entreprise anonyme,2025-01-05 08:10:31.286,2025-03-05 23:59:59.000,Services,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Responsable Matériels / Lourds et engins,Entreprise anonyme,2025-01-05 08:10:00.245,2025-03-05 23:59:59.000,Services,"['Annaba', 'El Tarf']",['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Chef de service gestion des stocks,Entreprise anonyme,2025-01-05 08:09:30.017,2025-03-06 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Administrateur Système et Réseau,MED IJK,2025-01-05 08:02:06.731,2025-03-03 23:59:59.000,"Distribution, Commerce",['Sidi Bel Abbès'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Account Manager,NetBeOpen,2025-01-05 08:01:41.178,2025-03-03 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],['Bac + 2'],CDD Ou Mission,1
comptable, SARL Algeria and China group industries,2025-01-05 07:58:38.518,2025-03-03 23:59:59.000,Industries,['Oran'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Femme de Ménage,Hicham cook,2025-01-05 07:51:07.301,2025-03-03 23:59:59.000,Services,['Alger'],"['Moins D’un An', '1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans', 'Plus de 10 Ans']","['Niveau Secondaire', 'Formation Professionnelle', 'Niveau Terminal']",CDD Ou Mission,3
Agent de Sécurité,Hicham cook,2025-01-05 07:48:54.275,2025-03-03 23:59:59.000,Services,['Alger'],"['1 À 2 Ans', '3 À 5 Ans', '6 À 10 Ans']","['Bac', 'Niveau Secondaire', 'Formation Professionnelle', 'Niveau Terminal']",CDD Ou Mission,3
Agent d'entretien sanitaire,Hicham cook,2025-01-05 07:46:28.968,2025-03-03 23:59:59.000,Services,['Alger'],['1 À 2 Ans'],"['Bac', 'Niveau Secondaire', 'Formation Professionnelle', 'Niveau Terminal']",CDD Ou Mission,1
Auditeur interne (H/F),Natixis Algérie,2025-01-05 07:40:05.000,2025-02-15 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['1 À 2 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Sourcing Quality Engineer (SQE),GEAT General Electric Algeria Turbines,2025-01-05 04:32:33.613,2025-03-06 23:59:59.000,"Energie, Mines, Matière Première",['Batna'],['3 À 5 Ans'],['Bac + 5'],CDI,1
Chargé des Acheteurs internationaux,Entreprise anonyme,2025-01-03 12:05:20.000,2025-03-03 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],['Bac + 4'],CDD Ou Mission,4
Treasury Officer,Yassir ,2025-01-02 16:23:55.506,2025-01-24 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,3
Senior Motion Designer,Yassir ,2025-01-02 16:20:51.492,2025-03-03 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Chargé ( e ) Qualité Base de données,Gulf Bank Algérie (AGB),2025-01-02 16:16:42.190,2025-03-03 23:59:59.000,"Banque, Assurance, Finance",['Alger'],"['Sans Expérience', 'Moins D’un An', '1 À 2 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Graphic Designer,Yassir ,2025-01-02 16:15:56.138,2025-03-03 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['3 À 5 Ans'],['Formation Professionnelle'],CDI,1
Creative director,Yassir ,2025-01-02 16:10:47.670,2025-03-03 23:59:59.000,"Informatique, Télécom, Internet",['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Driver Acquisition,Yassir ,2025-01-02 16:02:34.432,2025-03-03 23:59:59.000,"Informatique, Télécom, Internet",['Annaba'],"['1 À 2 Ans', '3 À 5 Ans']","['Bac + 3', 'Bac + 2']",CDD Ou Mission,1
Chef de Département du Matériel et de la Maintenance,EURL TGCTP,2025-01-02 15:30:33.245,2025-03-03 23:59:59.000,"BTP, Construction, Immobilier",['Mascara'],"['6 À 10 Ans', 'Plus de 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Performance & Operational Excellence Manager,Equatorial Coca-Cola Bottling Company (ECCBC Algérie),2025-01-02 15:19:15.000,2025-02-09 23:59:59.000,Industries,['Alger'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Operateur  Pompe à Béton téléscopique,Société Nationale des Travaux publics SNTP,2025-01-02 13:25:20.267,2025-03-03 23:59:59.000,"BTP, Construction, Immobilier",['Alger'],['3 À 5 Ans'],['Niveau Secondaire'],CDD Ou Mission,5
Planificateur de  production,Entreprise anonyme,2025-01-02 12:54:29.399,2025-03-03 23:59:59.000,Industries,"['Alger', 'Blida']",['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Délégué Commerce Extérieur (Bab Ezzouar),Fransabank,2025-01-02 12:41:55.417,2025-03-03 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Infographe senior,Importante entreprise,2025-01-02 09:49:20.615,2025-03-03 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Formation Professionnelle']",CDI,1
Directeur / Directrice Commercial (e) Distribution,SARL  TIZIRI CERAMICA,2025-01-02 09:20:46.689,2025-03-02 23:59:59.000,"Distribution, Commerce",['Bouira'],['Plus de 10 Ans'],"['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Chef de Dépôt,DIFEX SPA,2025-01-02 09:20:20.598,2025-03-02 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
Quality Downstream & Consumer Voice Manager,Danone Djurdjura Algérie,2025-01-02 09:19:54.259,2025-03-03 23:59:59.000,Industries,['Alger'],['3 À 5 Ans'],"['Bac + 3', 'Bac + 2']",CDI,1
Serveurs,Hicham cook,2025-01-02 09:19:34.956,2025-03-03 23:59:59.000,Services,['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Niveau Terminal'],CDD Ou Mission,2
Chef de Département Maintenance (parc roulant & engins),Diam Grain ,2025-01-02 08:53:48.755,2025-03-03 23:59:59.000,"Distribution, Commerce",['Blida'],['6 À 10 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
TRESORIER,Entreprise anonyme,2025-01-02 07:54:53.463,2025-03-03 23:59:59.000,"Distribution, Commerce",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDD Ou Mission,2
